Utterance,Interval,Call_ID,Sentiment_Score,Sentiment,BU,Intent_Cluster,Agent_Name
"Sure, but I’m frustrated.
Customer",10,100017,-0.9578502813407753,Negative,Accounts_and_Billing,Account Services,Alice Walker
"If reliability improves, I’ll reconsider cancelling.
Customer",20,100017,-0.536325532802822,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],30,100017,,,Accounts_and_Billing,Account Services,Alice Walker
[],40,100017,,,Accounts_and_Billing,Account Services,Alice Walker
[],50,100017,,,Accounts_and_Billing,Account Services,Alice Walker
"Prices keep increasing. I’m considering cancelling.
Customer",0,100018,-0.9412561857596484,Negative,Accounts_and_Billing,Account Services,James William
"What’s the difference in speed and data?
Customer",10,100018,-0.005955481136925345,Negative,Accounts_and_Billing,Account Services,James William
"Apply the discount on my current plan for now.
Customer",20,100018,0.003054572783178999,Positive,Accounts_and_Billing,Account Services,James William
[],30,100018,,,Accounts_and_Billing,Account Services,James William
[],40,100018,,,Accounts_and_Billing,Account Services,James William
"The dish alignment seems off—the signal fluctuates a lot.
Customer",0,100019,-0.8885480411432632,Negative,Accounts_and_Billing,Installation,James William
[],150,100036,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Please ensure proper alignment and weatherproofing.
Customer",10,100019,-0.001009472309938975,Negative,Accounts_and_Billing,Installation,James William
[],20,100019,,,Accounts_and_Billing,Installation,James William
[],30,100019,,,Accounts_and_Billing,Installation,James William
[],40,100019,,,Accounts_and_Billing,Installation,James William
"The technician left without mounting the ONT, and the wire management is messy.
Customer",0,100020,-0.9553560527870575,Negative,Accounts_and_Billing,Installation,James William
"Please include proper cable sleeves and ONT wall mount.
Customer",10,100020,1.438270809472897e-05,Positive,Accounts_and_Billing,Installation,James William
"Will I get a summary?
Customer",20,100020,-0.001093810522334593,Negative,Accounts_and_Billing,Installation,James William
[],30,100020,,,Accounts_and_Billing,Installation,James William
[],40,100020,,,Accounts_and_Billing,Installation,James William
"good afternoon
Customer",0,100021,0.9365030848671186,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],10,100021,,,Accounts_and_Billing,Account Services,Alice Walker
"Hi John, I'm having some issues with my alarm system. It's not armoring properly.
Customer",20,100021,-0.8795101571141758,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],30,100021,,,Accounts_and_Billing,Account Services,Alice Walker
"It's 123456.
Customer",40,100021,0.0001929685223673316,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],50,100021,,,Accounts_and_Billing,Account Services,Alice Walker
"Yeah, it says 'System Not Ready' on the keypad.
Customer",60,100021,-0.675425569817794,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],70,100021,,,Accounts_and_Billing,Account Services,Alice Walker
"Yeah, it's online.
Customer",80,100021,0.3816820638343373,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],90,100021,,,Accounts_and_Billing,Account Services,Alice Walker
"Yeah, it's working now. Thanks, John!
Customer",100,100021,0.9762563820724616,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],110,100021,,,Accounts_and_Billing,Account Services,Alice Walker
[],120,100021,,,Accounts_and_Billing,Account Services,Alice Walker
[],130,100021,,,Accounts_and_Billing,Account Services,Alice Walker
"good afternoon. I'm calling to inquire about my account. I received a notice that my payment is due soon.
Customer",0,100022,0.02697737951022014,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],10,100022,,,Accounts_and_Billing,Account Services,Alice Walker
"It's 123456789.
Customer",20,100022,0.0002283745457107855,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Yes, that would be great. How much do I owe?
Customer",30,100022,0.9565504784758264,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],40,100022,,,Accounts_and_Billing,Account Services,Alice Walker
"I'll just pay the full amount. Can I use my credit card?
Customer",50,100022,-0.0009547238114182566,Negative,Accounts_and_Billing,Account Services,Alice Walker
"It's 4111-1111-1111-1111, and the expiration date is 02/2025.
Customer",60,100022,0.000327009420002522,Positive,Accounts_and_Billing,Account Services,Alice Walker
"No, that's all. Thank you for your help.
Customer",70,100022,0.8006347490734803,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],80,100022,,,Accounts_and_Billing,Account Services,Alice Walker
[],90,100022,,,Accounts_and_Billing,Account Services,Alice Walker
[],100,100022,,,Accounts_and_Billing,Account Services,Alice Walker
"Good afternoon. I'm having some issues with my alarm system.
Customer",0,100023,-0.8507820346137596,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
[],10,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Yeah, it's been going off randomly. I've tried to silence it, but it just keeps going off.
Customer",20,100023,-0.8900526528240222,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
[],30,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],40,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Yeah, it's 123 Main St, and I have the ADT Pulse system.
Customer",50,100023,0.4720304689148501,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
[],60,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],70,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
"It's been happening mostly at night, around 2 or 3 am.
Customer",80,100023,-0.0002719911190935953,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
[],90,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],100,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Okay, that sounds good. How long do you think it'll take for someone to come out?
Customer",110,100023,0.7332670894609556,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
[],120,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Alright, thank you for your help.
Customer",130,100023,0.9303789533153229,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
[],140,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],150,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],160,100023,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Good afternoon. I'm having some issues with my alarm system.
Customer",0,100024,-0.8507820346137596,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
"Yeah, the alarm keeps going off randomly. I've tried to reset it, but it just won't stop.
Customer",10,100024,-0.9284101203526908,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
[],20,100024,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Not really. It just seems to happen at random times. Sometimes it's during the day, sometimes at night.
Customer",30,100024,-8.302631035750352e-05,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
"Yeah, it's 123 Main St, Anytown, USA. And my phone number is 555-555-5555.
Customer",40,100024,0.01120066636020253,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
[],50,100024,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Okay, that sounds good. But what if it goes off again before the technician arrives?
Customer",60,100024,-0.01310023374037073,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
"Alright, thank you for your help.
Customer",70,100024,0.9303789533153229,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
[],80,100024,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],90,100024,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],100,100024,,,Accounts_and_Billing,Alarm Query,Alice Walker
"good afternoon. I'm calling to inquire about my account.
Customer",0,100025,0.04784904424940035,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],10,100025,,,Accounts_and_Billing,Account Services,Alice Walker
"It's 555-1234.
Customer",20,100025,0.0002482796174868851,Positive,Accounts_and_Billing,Account Services,Alice Walker
"I'm not sure. Can you just tell me what services I have?
Customer",30,100025,-0.03338800472369649,Negative,Accounts_and_Billing,Account Services,Alice Walker
"That sounds right. How much am I paying per month?
Customer",40,100025,-0.0167261165264323,Negative,Accounts_and_Billing,Account Services,Alice Walker
"Okay, that's what I thought. Can I also get a copy of my contract?
Customer",50,100025,-0.0006021866591655045,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],60,100025,,,Accounts_and_Billing,Account Services,Alice Walker
"Yes, that's fine.
Customer",70,100025,0.1539556801301774,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],80,100025,,,Accounts_and_Billing,Account Services,Alice Walker
[],90,100025,,,Accounts_and_Billing,Account Services,Alice Walker
[],100,100025,,,Accounts_and_Billing,Account Services,Alice Walker
"good afternoon. I'm having some issues with my account. I'm not receiving any notifications when someone rings my doorbell.
Customer",0,100026,-0.8563451401217684,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],10,100026,,,Accounts_and_Billing,Account Services,Alice Walker
"It's 123456.
Customer",20,100026,0.0001929685223673316,Positive,Accounts_and_Billing,Account Services,Alice Walker
"It started yesterday. I was at work and my wife told me that someone came to the door, but I didn't receive any notification on my phone.
Customer",30,100026,-0.0467179368625652,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],40,100026,,,Accounts_and_Billing,Account Services,Alice Walker
"Okay, let me try that. (pause) Yeah, I just received a notification. It looks like it's working now.
Customer",50,100026,0.8688792796649653,Positive,Accounts_and_Billing,Account Services,Alice Walker
"No, that's all. Thank you for your help.
Customer",60,100026,0.8006347490734803,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],70,100026,,,Accounts_and_Billing,Account Services,Alice Walker
[],80,100026,,,Accounts_and_Billing,Account Services,Alice Walker
[],90,100026,,,Accounts_and_Billing,Account Services,Alice Walker
"Good afternoon. I'm having some issues with my alarm system. It's been going off randomly throughout the day.
Customer",0,100027,-0.8168652713579093,Negative,Accounts_and_Billing,Alarm Query,Rose Cooper
[],10,100027,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"It's gone off about five times so far. And it's not just a quick beep, it's a full-on siren.
Customer",20,100027,-0.6527868840636883,Negative,Accounts_and_Billing,Alarm Query,Rose Cooper
"No, nothing out of the ordinary. I've checked all the doors and windows, and they're all secure.
Customer",30,100027,0.05293717024431843,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
[],40,100027,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"I have the ADT Pulse system, and I think it was last serviced about six months ago.
Customer",50,100027,0.005093992087640317,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
"Yeah, today would be great if possible.
Customer",60,100027,0.9841200464388498,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
[],70,100027,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"No, that's all. Thank you for your help.
Customer",80,100027,0.8006347490734803,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
[],90,100027,,,Accounts_and_Billing,Alarm Query,Rose Cooper
[],100,100027,,,Accounts_and_Billing,Alarm Query,Rose Cooper
[],110,100027,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"good afternoon. I'm calling to inquire about my account services with ADT.
Customer",0,100028,0.01489369304341435,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],10,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
"My account number is 123456.
Customer",20,100028,0.0003299199362614413,Positive,Accounts_and_Billing,Account Services,Rose Cooper
"I'd like to know more about the alarm monitoring services you offer.
Customer",30,100028,-0.01612267952276702,Negative,Accounts_and_Billing,Account Services,Rose Cooper
[],40,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
[],50,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
"That sounds great. Can I also get information about your fire protection services?
Customer",60,100028,0.9464055548307915,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],70,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
"Okay, that's good to know. I'd also like to inquire about your pricing plans.
Customer",80,100028,0.8019746391802054,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],90,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
"That sounds reasonable. Can I also get information about your customer support?
Customer",100,100028,0.2239543547332298,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],110,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
"Okay, that's great. Thank you for providing all this information.
Customer",120,100028,0.9710788769315776,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],130,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
[],140,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
[],150,100028,,,Accounts_and_Billing,Account Services,Rose Cooper
"good afternoon. I'm having some issues with my alarm system. It's not turning off and I'm getting a lot of false alarms.
Customer",0,100029,-0.9431993844365445,Negative,Accounts_and_Billing,Alarm Query,Rose Cooper
[],10,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"I have the ADT Pulse system. I've had it for about a year now.
Customer",20,100029,0.1372785744081386,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
[],30,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"Not really. It just seems to be going off randomly. And when I try to turn it off, it won't shut down.
Customer",40,100029,-0.7810312442439379,Negative,Accounts_and_Billing,Alarm Query,Rose Cooper
"Yeah, I've tried restarting it, but that didn't work. And I'm not sure how to check the battery levels.
Customer",50,100029,-0.892534560139296,Negative,Accounts_and_Billing,Alarm Query,Rose Cooper
[],60,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"Yeah. My account number is 123456.
Customer",70,100029,0.007215202331922257,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
"Okay, that sounds great. How long will it take for them to arrive?
Customer",80,100029,0.9407911319591697,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
[],90,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"Yeah, that would be great. Can I schedule it for between 3-5 pm today?
Customer",100,100029,0.9633950208187129,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
"Great, thank you so much for your help.
Customer",110,100029,0.9851635466497294,Positive,Accounts_and_Billing,Alarm Query,Rose Cooper
[],120,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
[],130,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
[],140,100029,,,Accounts_and_Billing,Alarm Query,Rose Cooper
"good afternoon
Customer",0,100030,0.9365030848671186,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],10,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
"Hi John, I'm having some issues with my alarm system. It's not armoring properly.
Customer",20,100030,-0.8795101571141758,Negative,Accounts_and_Billing,Account Services,Rose Cooper
[],30,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
"It's 123456.
Customer",40,100030,0.0001929685223673316,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],50,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
"Yes, it says 'System Error'.
Customer",60,100030,-0.6362515715561828,Negative,Accounts_and_Billing,Account Services,Rose Cooper
[],70,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
"Okay... done.
Customer",80,100030,0.0008231643424161383,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],90,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
[],100,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
"Yeah, it's working now. Thanks, John.
Customer",110,100030,0.970195357906135,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],120,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
[],130,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
[],140,100030,,,Accounts_and_Billing,Account Services,Rose Cooper
"good afternoon. I'm having some issues with my ADT security system. The alarm keeps going off randomly and I'm not sure why.
Customer",0,100031,-0.9209155491860667,Negative,Accounts_and_Billing,App Services,Rose Cooper
[],10,100031,,,Accounts_and_Billing,App Services,Rose Cooper
"It's been happening every few days. Sometimes it's during the day, sometimes at night. I've tried to troubleshoot it myself, but I can't seem to find the problem.
Customer",20,100031,-0.7128370197545577,Negative,Accounts_and_Billing,App Services,Rose Cooper
[],30,100031,,,Accounts_and_Billing,App Services,Rose Cooper
"Yeah, my name is John Smith and my address is 123 Main St.
Customer",40,100031,0.004472383440238648,Positive,Accounts_and_Billing,App Services,Rose Cooper
[],50,100031,,,Accounts_and_Billing,App Services,Rose Cooper
"Yeah, that sounds good. What days and times are available?
Customer",60,100031,0.9376720188962785,Positive,Accounts_and_Billing,App Services,Rose Cooper
[],70,100031,,,Accounts_and_Billing,App Services,Rose Cooper
"Yeah, Wednesday works for me.
Customer",80,100031,0.8545739861902555,Positive,Accounts_and_Billing,App Services,Rose Cooper
[],90,100031,,,Accounts_and_Billing,App Services,Rose Cooper
"No, that's all. Thank you for your help.
Customer",100,100031,0.8006347490734803,Positive,Accounts_and_Billing,App Services,Rose Cooper
[],110,100031,,,Accounts_and_Billing,App Services,Rose Cooper
[],120,100031,,,Accounts_and_Billing,App Services,Rose Cooper
[],130,100031,,,Accounts_and_Billing,App Services,Rose Cooper
"Good afternoon. I'm calling to inquire about my account services with ADT.
Customer",0,100032,0.03158558799768493,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],10,100032,,,Accounts_and_Billing,Account Services,Rose Cooper
"My account number is 123456.
Customer",20,100032,0.0003299199362614413,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],30,100032,,,Accounts_and_Billing,Account Services,Rose Cooper
"I'm having some trouble with my alarm system. It's been going off randomly, and I'm not sure why.
Customer",40,100032,-0.9178971842605469,Negative,Accounts_and_Billing,Account Services,Rose Cooper
[],50,100032,,,Accounts_and_Billing,Account Services,Rose Cooper
"Afternoon would be better, thank you.
Customer",60,100032,0.9560374358670388,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],70,100032,,,Accounts_and_Billing,Account Services,Rose Cooper
"Yes, that sounds great. Thank you.
Customer",80,100032,0.9837117128383309,Positive,Accounts_and_Billing,Account Services,Rose Cooper
